molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL227748,11,C,-0.03684536920950291,-0.00035927045580136515,-0.039460245583234355,-1.326297895606655,4.633260455036533,-4.37021377116817,0.0,1.1942158221617714,-0.024370965224562363,0.2938981907155612
CHEMBL227748,12,C,-0.09532477352653573,-0.0016476156853241395,-0.059475350579159425,-3.0235291006152636,10.635016547761879,-9.830714527590832,0.019488364868937257,2.463182477765261,0.0,0.37096545316414575
CHEMBL227748,13,C,0.17681553426175148,-0.0038423573186627084,-0.04325770797992967,-1.9629641713572301,6.7542589187147835,-6.646422973528162,0.16450436285142603,1.5737468474442724,0.19767560682145024,0.4744834906748816
CHEMBL227748,14,O,0.004195230801985021,-0.00011350065668785379,-0.0064074556404166705,-0.3940844711806708,1.3631760542422848,-1.548390002661633,0.03913726908026309,0.38568809290609285,-0.4207376357518197,-0.3135669880954194
CHEMBL227748,15,N,0.302148592217203,-0.0003088904385441094,-0.017439997985522475,-0.6995857948386568,2.341538594989033,-2.539514637104165,0.17107393801726148,1.0754261622369246,-0.9051105695899967,-0.007803171731279868
CHEMBL227748,16,C,0.09243367762630317,-3.40827862586832e-05,-0.005566202989128114,-0.15881802412782892,0.5217385926304894,-0.5287098018362748,0.037589657505209935,0.26375276975972517,0.0,0.48635601654742
CHEMBL227748,17,C,-0.17773512639263822,-0.0013577776289974922,-0.04191955303074324,-2.7527874925756324,10.146941029223932,-9.288518523571351,0.030688973147703687,2.42237586982269,0.03858736160555707,0.6402441913657019
CHEMBL227748,18,N,0.10607322147222005,-0.0004883073979342164,-0.015280379050800097,-1.5034253698349342,5.433448293335884,-5.002749933755537,0.12342356956285948,1.5642664189327593,-0.7230053016620166,0.2462316423676827
CHEMBL227748,19,C,-0.2191526218123223,-0.001328171246399745,-0.03916252484490923,-2.0618438555980614,7.627879666280284,-6.968451760376029,0.030688973147703687,1.7033767118794305,0.0,0.33597584819488
CHEMBL227748,20,C,-0.10322345798070456,-0.00046874645766446587,-0.037119504055670216,-1.0764020762185078,3.8780080795391854,-3.5945423953873057,0.0,0.8453632064113311,-0.024370965224562363,0.1512135713912837
CHEMBL227748,21,C,-0.07826286462918697,-0.0002967606229586855,-0.042855845559523376,-0.8307649772089476,2.952148859783688,-2.743037304407969,0.0,0.664394558156751,-0.024370965224562363,0.16092413105247397
CHEMBL227748,22,C,-0.0764471005967033,-0.0003310873472192294,-0.04351242102844133,-0.9812518961140457,3.51616302755417,-3.2363720980217434,0.0,0.7835032578290775,-0.024370965224562363,0.2013501478157154
CHEMBL227748,23,C,-0.10017393158975683,-0.0005378862928459966,-0.056373725011776954,-1.556927516395278,5.689048751152843,-5.171298136348274,0.0,1.2289635706104234,0.0,0.2966705568905177
