       mol;    enlace;       Std;       Dip;      Dip2;       Hyd;      Pols;       Mol;       Pol;       Van;       Gas;       Ato;        r2;      pi2h;       b2h;       b2o;       l16
       6.0;      11.0;      1.46;      0.68;       0.0;    0.0851;       0.0;  2.030333;  0.985667;  1.133333;  0.012651;  8.007333;  0.089667;  0.045667;  0.003667;  0.006667;  0.357667
       6.0;      12.0;       1.4;       0.4;      0.45; -0.066467;      1.08;  1.473667;     0.675;       1.1; -0.074513;  8.672667;     0.103;  0.119667;  0.221333;     0.225;     0.283
       6.0;      13.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.036969; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;      14.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.036969; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;      15.0;       1.4;       0.0;       0.0;    0.1581;       0.0;      3.35;     1.896;       1.7;  -0.05309;    12.011;     0.068;      0.05;     0.011;     0.012;     0.469
       6.0;      16.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.006334; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;      17.0;      1.52;      0.68;       0.0;  0.021158;       0.0;  1.813667;   0.89725;  0.991667;  0.122481;  7.006417;   0.10675;  0.051417;   0.00925;   0.01175;   0.31875
       6.0;      18.0;       1.4;       0.0;       0.0;  0.124383;       0.0;  2.844667;      1.58;  1.416667; -0.006334; 10.009167;     0.094;  0.058667;    0.0055;     0.006;    0.4425
       6.0;      19.0;       1.4;      1.51;      1.39;  0.396025;       0.0;     1.752;   0.56125;     1.925;  -0.06216;  22.00075;  -0.13325;  -0.02425;  -0.02675;  -0.02125;  -0.03225
       6.0;      20.0;       1.4;      1.51;      1.39;  0.396025;       0.0;     1.752;   0.56125;     1.925;  -0.06216;  22.00075;  -0.13325;  -0.02425;  -0.02675;  -0.02125;  -0.03225
